scenario,GeographyInput,DAY_ZERO,IncubationPeriod,InitRecovered,RecoveryDays,doublingtime,KnownAdmits,Population,SocialDistancing,MarketSharePercent,Admission_Rate,HOSP_LOS,ICUPercent,ICU_LOS,VentPErcent,VENT_LOS,ECMO_RATE,ECMO_LOS,DIAL_RATE,DIAL_LOS,ISOChangeDate,SocialDistancingChange,ISOChangeDateTwo,SocialDistancingChangeTwo,FatalityRate,DiagnosedRate,ISOChangeDate3,SocialDistancingChange3,ISOChangeDate4,SocialDistancingChange4,plots
Florida at Ohio Admit 3% 0-0-0 ISO,FLORIDA,5MAR2020'd,0,0,14,5,1,4039766,0,1,0.03,7,0.32,14,0.26,15,0.03,6,0.05,11,'31MAR2020'd,0,'06APR2020'd,0,0,1,14MAY2020'd,0,01MAR2020'd,0,NO
Florida at Ohio Admit 3% 0-20-20 ISO,FLORIDA,5MAR2020'd,0,0,14,5,1,4039766,0.2,1,0.03,7,0.32,14,0.26,15,0.03,6,0.05,11,'31MAR2020'd,0.2,'06APR2020'd,0.2,0,1,14MAY2020'd,0.2,01MAR2020'd,0.2,NO
Florida at Ohio Admit 3% 0-40-40 ISO,FLORIDA,5MAR2020'd,0,0,14,5,1,4039766,0.4,1,0.03,7,0.32,14,0.26,15,0.03,6,0.05,11,'31MAR2020'd,0.4,'06APR2020'd,0.4,0,1,14MAY2020'd,0.4,01MAR2020'd,0.4,NO
Ohio 3% admit 30% ICU 0 iso 40 iso 40 iso 0 iso 4-5-20,OHIO,16MAR2020'd,0,0,14,3,17,11689442,0,1,0.03,7,0.3,14,0.27,15,0.03,6,0.05,11,'31MAR2020'd,0.4,'06APR2020'd,0.4,0,1,14MAY2020'd,0,01MAR2020'd,0,NO
Ohio 3% admit 30% ICU 0 iso 40 iso 40 iso 10 iso 4-5-20,OHIO,16MAR2020'd,0,0,14,3,17,11689442,0,1,0.03,7,0.3,14,0.27,15,0.03,6,0.05,11,'31MAR2020'd,0.4,'06APR2020'd,0.4,0,1,14MAY2020'd,0.1,01MAR2020'd,0.1,NO
Ohio 3% admit 30% ICU 0 iso 40 iso 40 iso 20 iso 4-5-20,OHIO,16MAR2020'd,0,0,14,3,17,11689442,0,1,0.03,7,0.3,14,0.27,15,0.03,6,0.05,11,'31MAR2020'd,0.4,'06APR2020'd,0.4,0,1,14MAY2020'd,0.2,01MAR2020'd,0.2,NO
Ohio 3% admit 30% ICU 0 iso 40 iso 40 iso 40 iso 4-5-20,OHIO,16MAR2020'd,0,0,14,3,17,11689442,0,1,0.03,7,0.3,14,0.27,15,0.03,6,0.05,11,'31MAR2020'd,0.4,'06APR2020'd,0.4,0,1,14MAY2020'd,0.4,01MAR2020'd,0.4,NO
Ohio 3% admit 30% ICU 0 iso 40 iso 60 iso 0 iso 4-5-20,OHIO,16MAR2020'd,0,0,14,3,17,11689442,0,1,0.03,7,0.3,14,0.27,15,0.03,6,0.05,11,'31MAR2020'd,0.4,'06APR2020'd,0.6,0,1,14MAY2020'd,0,01MAR2020'd,0,NO
Ohio 3% admit 30% ICU 0 iso 40 iso 60 iso 10 iso 4-5-20,OHIO,16MAR2020'd,0,0,14,3,17,11689442,0,1,0.03,7,0.3,14,0.27,15,0.03,6,0.05,11,'31MAR2020'd,0.4,'06APR2020'd,0.6,0,1,14MAY2020'd,0.1,01MAR2020'd,0.1,NO
Ohio 3% admit 30% ICU 0 iso 40 iso 60 iso 20 iso 4-5-20,OHIO,16MAR2020'd,0,0,14,3,17,11689442,0,1,0.03,7,0.3,14,0.27,15,0.03,6,0.05,11,'31MAR2020'd,0.4,'06APR2020'd,0.6,0,1,14MAY2020'd,0.2,01MAR2020'd,0.2,NO
Ohio 3% admit 30% ICU 0 iso 40 iso 60 iso 40 iso 4-5-20,OHIO,16MAR2020'd,0,0,14,3,17,11689442,0,1,0.03,7,0.3,14,0.27,15,0.03,6,0.05,11,'31MAR2020'd,0.4,'06APR2020'd,0.6,0,1,14MAY2020'd,0.4,01MAR2020'd,0.4,NO
Ohio 3% admit 30% ICU 0 iso 40 iso 60 iso 60 iso 4-5-20,OHIO,16MAR2020'd,0,0,14,3,17,11689442,0,1,0.03,7,0.3,14,0.27,15,0.03,6,0.05,11,'31MAR2020'd,0.4,'06APR2020'd,0.6,0,1,14MAY2020'd,0.6,01MAR2020'd,0.6,NO
Ohio 3% admit 30% ICU 0 iso 40 iso 80 iso 0 iso 4-5-20,OHIO,16MAR2020'd,0,0,14,3,17,11689442,0,1,0.03,7,0.3,14,0.27,15,0.03,6,0.05,11,'31MAR2020'd,0.4,'06APR2020'd,0.8,0,1,14MAY2020'd,0,01MAR2020'd,0,NO
