scenario,GeographyInput,DAY_ZERO,IncubationPeriod,InitRecovered,RecoveryDays,doublingtime,KnownAdmits,Population,SocialDistancing,MarketSharePercent,Admission_Rate,HOSP_LOS,ICUPercent,ICU_LOS,VentPErcent,VENT_LOS,ECMO_RATE,ECMO_LOS,DIAL_RATE,DIAL_LOS,FatalityRate,DiagnosedRate,plots,ISOChangeDate,SocialDistancingChange,ISOChangeDateTwo,SocialDistancingChangeTwo,ISOChangeDate3,SocialDistancingChange3,ISOChangeDate4,SocialDistancingChange4,BetaDecayChangeDate5,BetaDecayChange5,BetaDecayChangeDate6,BetaDecayChange6,BetaDecayChangeDate7,BetaDecayChange7,BetaDecayChangeDate8,BetaDecayChange8,BetaDecayChangeDate9,BetaDecayChange9,BetaDecayChangeDate10,BetaDecayChange10
BaselineSDScenario 1 0-50-65-68- 0%decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.68,10MAY2022'd,0,12MAY2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
RelaxSDScenario 1 0-50-65-68- 3%decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.68,10MAY2022'd,0,12MAY2020'd,-3,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
RelaxSDScenario 1 0-50-65-68- 6%decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.68,10MAY2022'd,0,12MAY2020'd,-6,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
RelaxSDScenario 1 0-50-65-68- 9%decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.68,10MAY2022'd,0,12MAY2020'd,-9,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
RelaxSDScenario 1 0-50-65-68- 3-10decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.68,10MAY2022'd,0,12MAY2020'd,-3,15JUL2020'd,-10,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
RelaxSDScenario 1 0-50-65-68- 6-10decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.68,10MAY2022'd,0,12MAY2020'd,-6,15JUL2020'd,-10,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
RelaxSDScenario 1 0-50-65-68- 9-10decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.68,10MAY2022'd,0,12MAY2020'd,-9,15JUL2020'd,-10,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
RelaxSDScenario 1 0-50-65-68- 3-12.5decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.68,10MAY2022'd,0,12MAY2020'd,-3,15JUL2020'd,-12.5,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
RelaxSDScenario 1 0-50-65-68- 6-12.5decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.68,10MAY2022'd,0,12MAY2020'd,-6,15JUL2020'd,-12.5,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
RelaxSDScenario 1 0-50-65-68- 9-12.5decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.68,10MAY2022'd,0,12MAY2020'd,-9,15JUL2020'd,-12.5,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
RelaxSDScenario 1 0-50-65-68- 3-15decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.68,10MAY2022'd,0,12MAY2020'd,-3,15JUL2020'd,-15,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
RelaxSDScenario 1 0-50-65-68- 6-15decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.68,10MAY2022'd,0,12MAY2020'd,-6,15JUL2020'd,-15,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
RelaxSDScenario 1 0-50-65-68- 9-15decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.68,10MAY2022'd,0,12MAY2020'd,-9,15JUL2020'd,-15,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
zzzRelaxSDScenario 1 0-50-65-70- 3%decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.7,10MAY2022'd,0,12MAY2020'd,-3,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
zzzRelaxSDScenario 1 0-50-65-65- 3%decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.65,10MAY2022'd,0,12MAY2020'd,-3,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
zzzRelaxSDScenario 1 0-50-65-70- 6%decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.7,10MAY2022'd,0,12MAY2020'd,-6,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
zzzRelaxSDScenario 1 0-50-65-65- 6%decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.65,10MAY2022'd,0,12MAY2020'd,-6,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
zzzBaselineSDScenario 1 0-50-65-70- 0%decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.7,10MAY2022'd,0,12MAY2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
zzzBaselineSDScenario 1 0-50-65-65- 0%decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.65,10MAY2022'd,0,12MAY2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
zzzRelaxSDScenario 1 0-50-65-70- 9%decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.7,10MAY2022'd,0,12MAY2020'd,-9,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
zzzRelaxSDScenario 1 0-50-65-65- 9%decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.65,10MAY2022'd,0,12MAY2020'd,-9,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
RelaxSDScenario 1 0-50-65-70- 6%decay,21_County,13MAR2020'd,0,0,14,4.25,10,4390484,0,0.29,0.03,9,0.25,17,0.22,10,0.03,6,0.05,11,0,1,NO,27MAR2020'd,0.5,01APR2020'd,0.65,06APR2020'd,0.7,10MAY2022'd,0,12MAY2020'd,-6,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0,01OCT2020'd,0
